Unnamed: 0,Tank Failure Pressure (bar),Liquid Ratio,Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3203,14.26,0.25,1.58,8.61,1.79,1.01,1.4,457.14,423.07,19,11,5,0.39,1,Superheated,37.9,-1,152,18,2,19.75,5.7,3.1,0.5882985
3204,14.14,0.25,1.59,8.58,1.81,1,1.41,457.71,422.82,19,11,5,0.4,1,Superheated,37.9,-1,152,19,3,20,-5.15,-1.5,0.55152422
3205,14.05,0.24,1.62,8.59,1.79,0.98,1.38,456.58,422.37,19,11,5,0.4,1,Superheated,37.9,-1,152,20,3,20,-5.15,0.8,0.55081338
3206,14.17,0.24,1.59,8.6,1.8,0.98,1.4,456.81,423.28,19,11,5,0.42,1,Superheated,37.9,-1,152,21,3,20,-5.15,3.1,0.52890617
3207,14.09,0.24,1.59,8.6,1.8,1,1.4,456.93,423.19,19,11,5,0.39,1,Superheated,37.9,-1,152,22,4,20,-4.9,3.4,0.45436269
3208,14.22,0.25,1.62,8.59,1.82,1.01,1.4,457.58,422.58,19,11,5,0.39,1,Superheated,37.9,-1,152,23,4,20,0.4,3.4,0.29113069
3209,14.24,0.25,1.6,8.62,1.81,0.98,1.4,457.76,422.29,19,11,5,0.39,1,Superheated,37.9,-1,152,24,4,20,5.7,3.4,0.27694437
3210,14.06,0.25,1.59,8.59,1.81,1,1.39,457.11,422.47,19,11,5,0.39,1,Superheated,37.9,-1,152,25,5,20,5.95,-1.5,0.25718641
3211,14.11,0.25,1.6,8.62,1.8,1.01,1.4,456.22,422.64,19,11,5,0.4,1,Superheated,37.9,-1,152,26,5,20,5.95,0.8,0.25760314
3212,14.04,0.24,1.61,8.61,1.82,1.01,1.39,457.14,422.54,19,11,5,0.39,1,Superheated,37.9,-1,152,27,5,20,5.95,3.1,0.25700495
3213,16.52,0.54,1.4,6.81,1.38,0.62,0.78,327.86,341.59,13,7,4,0.8,5,Superheated,42.5,-42,96.7,1,1,14.55,-2.1,-0.8,0.1612379
3214,16.29,0.54,1.38,6.81,1.41,0.59,0.78,328.34,341.91,13,7,4,0.79,5,Superheated,42.5,-42,96.7,2,1,14.55,-2.1,1,0.16290095
3215,16.42,0.54,1.41,6.8,1.41,0.6,0.81,326.93,341.34,13,7,4,0.81,5,Superheated,42.5,-42,96.7,3,1,14.55,-2.1,2.8,0.25445116
3216,16.26,0.54,1.39,6.81,1.38,0.6,0.8,327.62,340.76,13,7,4,0.82,5,Superheated,42.5,-42,96.7,4,1,14.55,1.2,-0.8,0.24002799
3217,16.39,0.54,1.41,6.81,1.38,0.58,0.82,328.37,340.82,13,7,4,0.81,5,Superheated,42.5,-42,96.7,5,1,14.55,1.2,1,0.17492895
3218,16.4,0.54,1.4,6.81,1.41,0.61,0.79,327.16,341.49,13,7,4,0.78,5,Superheated,42.5,-42,96.7,6,1,14.55,1.2,2.8,0.10385802
3219,16.46,0.54,1.42,6.8,1.41,0.59,0.79,328.55,341.82,13,7,4,0.78,5,Superheated,42.5,-42,96.7,7,1,14.55,4.5,-0.8,0.086149909
3220,16.44,0.54,1.4,6.81,1.42,0.59,0.78,327.13,341.26,13,7,4,0.81,5,Superheated,42.5,-42,96.7,8,1,14.55,4.5,1,0.086791798
3221,16.42,0.54,1.38,6.78,1.42,0.6,0.81,326.38,341.04,13,7,4,0.81,5,Superheated,42.5,-42,96.7,9,1,14.55,4.5,2.8,0.17102845
3222,16.43,0.54,1.42,6.8,1.38,0.58,0.82,327.8,340.98,13,7,4,0.78,5,Superheated,42.5,-42,96.7,10,2,13.65,-2.1,-0.8,1.0938188
3223,16.44,0.54,1.4,6.78,1.41,0.6,0.79,327.48,341.31,13,7,4,0.79,5,Superheated,42.5,-42,96.7,11,2,13.65,-2.1,1,1.0914841
3224,16.18,0.54,1.42,6.81,1.4,0.6,0.81,327.12,341.44,13,7,4,0.79,5,Superheated,42.5,-42,96.7,12,2,13.65,-2.1,2.8,1.0367405
3225,16.37,0.54,1.39,6.81,1.41,0.6,0.79,327.03,340.92,13,7,4,0.78,5,Superheated,42.5,-42,96.7,13,2,13.65,1.2,-0.8,0.83508968
3226,16.39,0.54,1.39,6.79,1.39,0.59,0.81,328.09,341.59,13,7,4,0.79,5,Superheated,42.5,-42,96.7,14,2,13.65,1.2,1,0.83324337
3227,16.39,0.54,1.39,6.81,1.4,0.62,0.78,329.05,341.3,13,7,4,0.8,5,Superheated,42.5,-42,96.7,15,2,13.65,1.2,2.8,0.77918857
3228,16.45,0.54,1.4,6.8,1.4,0.62,0.79,327.1,341.13,13,7,4,0.82,5,Superheated,42.5,-42,96.7,16,2,13.65,4.5,-0.8,0.66316968
3229,16.36,0.54,1.38,6.8,1.39,0.58,0.8,328.29,341.56,13,7,4,0.8,5,Superheated,42.5,-42,96.7,17,2,13.65,4.5,1,0.66430438
3230,16.48,0.54,1.39,6.8,1.42,0.59,0.8,327.24,341.21,13,7,4,0.81,5,Superheated,42.5,-42,96.7,18,2,13.65,4.5,2.8,0.63173306
3231,16.3,0.54,1.41,6.81,1.41,0.6,0.8,326.73,341.32,13,7,4,0.8,5,Superheated,42.5,-42,96.7,19,3,14.1,-2.35,-0.8,0.55953681
3232,16.36,0.54,1.41,6.8,1.4,0.59,0.8,329.35,341.35,13,7,4,0.81,5,Superheated,42.5,-42,96.7,20,3,14.1,-2.35,1,0.56140119
3233,16.26,0.54,1.41,6.79,1.39,0.6,0.8,328.31,341.49,13,7,4,0.81,5,Superheated,42.5,-42,96.7,21,3,14.1,-2.35,2.8,0.54223198
3234,16.43,0.54,1.41,6.8,1.4,0.59,0.82,327.89,341.46,13,7,4,0.79,5,Superheated,42.5,-42,96.7,22,4,14.1,-2.1,3.1,0.45693621
3235,16.45,0.54,1.4,6.81,1.41,0.6,0.81,327.79,341.03,13,7,4,0.8,5,Superheated,42.5,-42,96.7,23,4,14.1,1.2,3.1,0.31523716
3236,16.42,0.54,1.39,6.79,1.38,0.6,0.79,328.49,341.43,13,7,4,0.8,5,Superheated,42.5,-42,96.7,24,4,14.1,4.5,3.1,0.2851294
3237,16.26,0.54,1.4,6.81,1.4,0.6,0.78,327.77,341.32,13,7,4,0.81,5,Superheated,42.5,-42,96.7,25,5,14.1,4.75,-0.8,0.26876709
3238,16.4,0.54,1.39,6.82,1.41,0.6,0.79,326.46,341.35,13,7,4,0.81,5,Superheat,42.5,-42,96.7,26,5,14.1,4.75,1,0.27002677
